Industry,analysts,developers,data_scientists,database_admin,data_professionals,Technologists,total_emp
"Agriculture, Forestry, Fishing and Hunting",0,60,0,0,0,290,430720
Mining,5880,1130,110,420,6410,12630,684390
Utilities,7250,3220,50,600,7900,19480,547100
Construction,1820,4060,,360,2180,18100,7439360
Manufacturing,35670,170500,,5440,41110,307140,12707850
Wholesale Trade,18880,63250,900,4440,24220,173160,5848510
Retail Trade,3260,21070,390,1240,4890,49940,15822440
Transportation and Warehousing,5820,9430,230,1830,7880,39560,6281590
Information,51510,303840,1920,15740,69170,588500,2831080
Finance and Insurance,98440,151680,,16880,115320,438650,5972610
Real Estate and Rental and Leasing,1640,4770,140,690,2470,18110,2259880
"Professional, Scientific, and Technical Services",279350,753080,11420,33070,323840,1664310,9379990
Management of Companies and Enterprises,67250,86640,3720,10640,81610,289550,2463870
Administrative and Support and Waste Management and Remediation Services,34640,73640,1560,6880,43080,235830,9372940
Educational Services,25910,40020,1070,10300,37280,231480,13275220
Health Care and Social Assistance,35620,22350,,6810,42430,146000,21025440
"Arts, Entertainment, and Recreation",720,2620,50,750,1520,11310,2484140
Accommodation and Food Services,430,530,,190,620,5160,14073290
"Other Services (except Federal, State, and Local Government)",3770,10550,,2860,6630,39750,4249730
"Federal, State, and Local Government",36770,32300,170,6290,43230,263930,9725350
